City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,17.65,77,40,10.29,PT,1707747506
1,Saint-Philippe,-21.3585,55.7679,28.77,86,60,5.1,RE,1707747506
2,Codrington,-38.2667,141.9667,14.44,92,0,2.67,AU,1707747507
3,Waitangi,-43.9535,-176.5597,12.68,87,52,0.89,NZ,1707747507
4,Port-Aux-Francais,-49.35,70.2167,6.91,85,100,14.4,TF,1707747507
5,Bosaso,11.2842,49.1816,26.59,70,4,3.95,SO,1707747508
6,Invercargill,-46.4,168.35,10.01,86,32,1.34,NZ,1707747508
7,Atafu Village,-8.5421,-172.5159,29.16,76,100,9.67,TK,1707747508
8,Adamstown,-25.066,-130.1015,24.59,90,100,9.05,PN,1707747508
9,Hasaki,35.7333,140.8333,2.94,45,0,1.7,JP,1707747508
10,Ust-Nera,64.5667,143.2,-38.49,96,56,1.0,RU,1707747508
11,Barra De Santo Antonio,-9.4047,-35.5072,27.6,55,63,5.87,BR,1707747508
12,Longyearbyen,78.2186,15.6401,-14.09,85,20,5.14,SJ,1707747508
13,Sitka,57.0531,-135.33,2.94,87,20,3.09,US,1707747509
14,Uturoa,-16.7333,-151.4333,26.55,94,100,8.48,PF,1707747509
15,Puerto Natales,-51.7236,-72.4875,12.25,54,75,8.75,CL,1707747391
16,Mil'Kovo,55.6078,37.7956,-0.88,98,100,2.23,RU,1707747509
17,Avarua,-21.2078,-159.775,24.03,83,40,1.03,CK,1707747509
18,Albany,42.6001,-73.9662,2.24,74,31,2.81,US,1707747509
19,Minas De Marcona,-15.2119,-75.1103,21.78,66,51,4.59,PE,1707747509
20,Kosh-Agach,50.0,88.6667,-21.5,75,5,1.34,RU,1707747509
21,Vilyuysk,63.7553,121.6247,-26.11,98,100,2.24,RU,1707747510
22,Daru,-9.0763,143.2092,25.6,90,100,1.71,PG,1707747510
23,Yellowknife,62.456,-114.3525,-13.66,99,75,3.09,CA,1707747510
24,Iqaluit,63.7506,-68.5145,-29.06,68,20,1.03,CA,1707747510
25,Wailua Homesteads,22.0669,-159.378,19.24,82,0,3.6,US,1707747510
26,Vilyuchinsk,52.9306,158.4028,-17.26,85,13,3.66,RU,1707747510
27,Isafjordur,66.0755,-23.124,2.02,69,75,10.29,IS,1707747510
28,Kudahuvadhoo,2.6708,72.8944,24.63,92,100,2.05,MV,1707747510
29,Grytviken,-54.2811,-36.5092,3.77,96,86,2.28,GS,1707747511
30,Basco,20.4487,121.9702,21.97,57,100,10.18,PH,1707747511
31,Chibougamau,49.9168,-74.3659,-12.21,92,100,1.03,CA,1707747511
32,Puerto Ayora,-0.7393,-90.3518,28.98,82,7,2.3,EC,1707747511
33,Badger,64.8,-147.5333,-18.89,82,20,0.0,US,1707747511
34,Blackmans Bay,-43.0167,147.3167,17.07,76,92,1.54,AU,1707747511
35,Punta Arenas,-53.15,-70.9167,11.06,58,75,7.2,CL,1707747403
36,Lebu,-37.6167,-73.65,16.4,72,0,7.29,CL,1707747400
37,Baiyin,36.5583,104.2081,1.81,31,0,0.47,CN,1707747512
38,Okhotsk,59.3833,143.3,-30.56,99,47,2.39,RU,1707747512
39,Kavaratti,10.5669,72.642,28.47,68,15,3.45,IN,1707747513
40,Arraial Do Cabo,-22.9661,-42.0278,32.98,52,0,5.66,BR,1707747513
41,Pikalevo,59.5183,34.1664,-9.6,93,77,2.84,RU,1707747513
42,Seguela,7.9611,-6.6731,37.95,19,39,2.91,CI,1707747513
43,Port Lincoln,-34.7333,135.8667,17.59,88,0,3.83,AU,1707747514
44,Margate,51.3813,1.3862,11.17,69,4,2.68,GB,1707747449
45,Bredasdorp,-34.5322,20.0403,34.31,23,0,7.6,ZA,1707747218
46,Kodiak,57.79,-152.4072,2.73,93,100,9.77,US,1707747514
47,Mandapam,9.2833,79.1167,27.61,74,77,9.28,IN,1707747514
48,Mokhsogollokh,61.4681,128.9203,-29.32,100,96,2.0,RU,1707747514
49,Revelstoke,50.9832,-118.2023,0.01,100,100,0.0,CA,1707747515
50,Napili-Honokowai,20.9708,-156.6705,20.65,77,0,1.04,US,1707747515
51,Whitehorse,60.7161,-135.0538,-5.57,68,75,2.06,CA,1707747515
52,Petropavlovsk-Kamchatsky,53.0452,158.6483,-18.08,81,0,3.58,RU,1707747515
53,Tadine,-21.55,167.8833,25.16,85,14,7.79,NC,1707747516
54,Margaret River,-33.95,115.0667,15.84,75,54,7.88,AU,1707747516
55,Orchard Homes,46.8633,-114.0484,1.27,92,100,0.0,US,1707747516
56,Hadibu,12.65,54.0333,26.47,71,31,3.47,YE,1707747516
57,Hammerfest,70.6634,23.6821,-4.75,93,40,1.03,NO,1707747516
58,Kirensk,57.7853,108.1119,-16.13,96,100,2.24,RU,1707747516
59,Ancud,-41.8697,-73.8203,13.59,47,1,1.84,CL,1707747517
60,Ilulissat,69.2167,-51.1,-19.99,45,40,3.6,GL,1707747517
61,Ayame,5.6083,-3.1563,40.13,27,100,1.02,CI,1707747517
62,Tamanrasset,22.785,5.5228,28.95,10,0,1.54,DZ,1707747517
63,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,30.57,56,51,5.11,BR,1707747518
64,Kotka,60.4664,26.9458,-7.04,83,12,4.67,FI,1707747518
65,As Sulayyil,20.4607,45.5779,25.14,17,100,2.05,SA,1707747518
66,Rongelap,11.1635,166.8941,26.21,78,100,9.28,MH,1707747519
67,Awjilah,29.1081,21.2869,21.93,29,0,9.07,LY,1707747519
68,Taksimo,56.3444,114.8794,-18.21,90,100,1.1,RU,1707747519
69,Port Augusta,-32.5,137.7667,26.35,50,58,4.23,AU,1707747520
70,Alaghsas,17.0187,8.0168,34.94,5,0,1.54,NE,1707747520
71,I-N-Salah,27.1935,2.4607,28.84,18,0,4.32,DZ,1707747378
72,Hamilton,39.1834,-84.5333,1.9,85,0,6.17,US,1707747175
73,Shancheng,34.7953,116.0817,9.84,67,0,3.88,CN,1707747520
74,Letlhakeng,-24.0944,25.0298,35.75,17,19,1.24,BW,1707747520
75,Hawaiian Paradise Park,19.5933,-154.9731,20.02,98,100,3.09,US,1707747521
76,Kristiansund,63.1115,7.732,6.36,49,75,5.14,NO,1707747521
77,Papatowai,-46.5619,169.4708,10.8,86,52,2.5,NZ,1707747521
78,Siwa Oasis,29.2041,25.5195,24.17,13,100,1.73,EG,1707747521
