City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fale Old Settlement,-9.3852,-171.2468,27.44,87,100,8.97,TK,1707616237
1,Hawaiian Paradise Park,19.5933,-154.9731,26.13,72,0,4.63,US,1707616237
2,Olonkinbyen,70.9221,-8.7187,-3.35,65,100,6.36,SJ,1707616237
3,Whitehorse,60.7161,-135.0538,0.57,69,20,5.14,CA,1707616238
4,Amarante Do Maranhao,-5.5667,-46.7422,22.54,92,100,1.3,BR,1707616238
5,West Island,-12.1568,96.8225,28.99,79,40,5.66,CC,1707616238
6,Bethel,41.3712,-73.414,10.68,86,20,2.06,US,1707616239
7,Saint-Felicien,48.6501,-72.4491,3.38,81,100,2.06,CA,1707616239
8,Manokwari,-0.8667,134.0833,28.42,73,94,3.05,ID,1707616239
9,Kourou,5.1552,-52.6478,27.03,85,18,3.62,GF,1707616239
10,Fairmont,39.4851,-80.1426,14.65,82,100,2.22,US,1707616239
11,Abra Pampa,-22.7205,-65.697,14.2,62,62,4.38,AR,1707616239
12,Klerksdorp,-26.8521,26.6667,14.09,57,6,3.69,ZA,1707616239
13,Adamstown,-25.066,-130.1015,25.01,91,98,11.79,PN,1707616239
14,Chonchi,-42.6128,-73.8092,12.56,97,100,1.67,CL,1707616240
15,Hithadhoo,-0.6,73.0833,28.07,75,55,4.65,MV,1707616240
16,Bilibino,68.0546,166.4372,-29.96,97,100,1.05,RU,1707616240
17,Margaret River,-33.95,115.0667,23.62,64,0,6.45,AU,1707616240
18,Thompson,55.7435,-97.8558,-16.91,85,100,1.03,CA,1707616240
19,Puerto Ayora,-0.7393,-90.3518,25.86,96,88,0.45,EC,1707616240
20,Klyuchi,52.2667,79.1667,-11.57,79,34,5.06,RU,1707616240
21,Kinna,57.5073,12.6946,0.41,85,96,4.91,SE,1707616240
22,Atafu Village,-8.5421,-172.5159,27.14,87,100,7.94,TK,1707616240
23,San Isidro De Curuguaty,-24.5167,-55.7,23.2,97,100,1.35,PY,1707616241
24,Ushuaia,-54.8,-68.3,9.81,81,20,9.77,AR,1707616241
25,Queenstown,-31.8976,26.8753,13.18,73,93,1.8,ZA,1707616241
26,Mbandaka,0.0487,18.2603,24.4,61,55,1.48,CD,1707616241
27,Puerto Natales,-51.7236,-72.4875,10.44,94,100,1.09,CL,1707616098
28,Sosnovoborsk,56.1325,93.3589,-5.97,73,67,6.63,RU,1707616241
29,Yellowknife,62.456,-114.3525,-11.99,98,75,6.17,CA,1707616241
30,Cabo San Lucas,22.8909,-109.9124,20.61,63,0,3.58,MX,1707616242
31,Mena,51.5217,32.2157,-0.2,96,100,4.98,UA,1707616242
32,Tchaourou,8.8865,2.5975,26.29,24,55,1.86,BJ,1707616242
33,Sitka,57.0531,-135.33,6.94,76,100,4.63,US,1707616242
34,Thames,-37.1333,175.5333,23.19,34,0,3.69,NZ,1707616242
35,Bennington,42.8781,-73.1968,8.68,96,100,1.54,US,1707616242
36,Invercargill,-46.4,168.35,13.34,72,100,4.47,NZ,1707616061
37,Toliara,-23.35,43.6667,26.17,87,56,2.53,MG,1707616243
38,Ancud,-41.8697,-73.8203,12.44,93,67,2.37,CL,1707616069
39,Talnakh,69.4865,88.3972,-27.37,83,93,1.78,RU,1707616243
40,Kochubey,44.3861,46.5825,5.21,81,100,5.27,RU,1707616243
41,Kodiak,57.79,-152.4072,2.73,70,0,5.66,US,1707616243
42,Motueka,-41.1333,173.0167,17.97,53,67,3.69,NZ,1707616243
