City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Olonkinbyen,70.9221,-8.7187,-2.64,62,6,4.46,SJ,1707490169
1,Mogadishu,2.0371,45.3438,28.93,79,0,7.72,SO,1707490169
2,Port-Aux-Francais,-49.35,70.2167,7.28,92,75,15.72,TF,1707490169
3,Puerto Ayora,-0.7393,-90.3518,27.53,84,72,2.24,EC,1707489943
4,Chonchi,-42.6128,-73.8092,19.62,47,100,2.0,CL,1707489953
5,Edinburgh Of The Seven Seas,-37.0676,-12.3116,19.82,87,98,11.13,SH,1707490169
6,Kodiak,57.79,-152.4072,3.73,100,100,10.8,US,1707489938
7,Georgetown,5.4112,100.3354,29.97,75,20,1.03,MY,1707489870
8,Andovoranto,-18.95,49.1,26.16,90,100,3.16,MG,1707490332
9,Gadzhiyevo,69.2551,33.3362,-18.54,97,100,1.87,RU,1707490170
10,Tamanrasset,22.785,5.5228,23.95,8,0,4.12,DZ,1707489985
11,Ilulissat,69.2167,-51.1,-16.99,60,40,11.83,GL,1707490170
12,Namibe,-15.1961,12.1522,27.71,73,58,5.13,AO,1707490170
13,Kingston,17.997,-76.7936,27.53,61,20,3.09,JM,1707490010
14,Tofol,5.3248,163.0078,27.62,77,100,8.72,FM,1707490170
15,Puerto Natales,-51.7236,-72.4875,15.25,55,40,11.32,CL,1707490171
16,Whitman,46.9166,-117.4844,2.1,95,100,2.6,US,1707490171
17,Albany,42.6001,-73.9662,7.63,66,100,1.34,US,1707490128
18,Bethel,41.3712,-73.414,6.22,81,0,2.57,US,1707490171
19,Ushuaia,-54.8,-68.3,14.81,58,75,8.75,AR,1707490024
20,Ciudad Lazaro Cardenas,17.9583,-102.2,23.73,74,3,1.08,MX,1707489972
21,Makassar,-5.14,119.4221,26.03,100,20,2.06,ID,1707490172
22,Murghob,38.1702,73.9667,-17.35,59,41,2.98,TJ,1707490172
23,Wailua Homesteads,22.0669,-159.378,21.44,84,75,4.63,US,1707490172
24,Adamstown,-25.066,-130.1015,25.04,88,100,5.72,PN,1707490172
25,Levokumskoye,44.8219,44.6606,10.98,74,18,3.74,RU,1707490172
26,Pathein,16.7833,94.7333,20.53,65,21,4.12,MM,1707490334
27,Tiksi,71.6872,128.8694,-25.12,100,100,1.56,RU,1707490172
28,Waitangi,-43.9535,-176.5597,12.54,60,5,1.41,NZ,1707490334
29,Sinabang,2.4803,96.3801,27.49,78,100,0.85,ID,1707490173
30,Grytviken,-54.2811,-36.5092,4.65,87,91,6.4,GS,1707490173
31,Praia Da Vitoria,38.7333,-27.0667,17.14,67,20,6.75,PT,1707490015
32,Tobelo,1.7284,128.0095,26.64,85,100,2.71,ID,1707490173
33,West Vero Corridor,27.6378,-80.4858,20.54,93,100,2.57,US,1707490335
34,Jati,24.3539,68.2671,22.21,34,0,4.02,PK,1707490174
35,Aktau,43.65,51.2,9.32,81,5,3.18,KZ,1707490174
36,Lebu,-37.6167,-73.65,17.61,67,61,5.18,CL,1707490174
37,Bilibino,68.0546,166.4372,-26.96,99,100,0.85,RU,1707490174
38,Ketchikan,55.3422,-131.6461,3.52,64,100,2.57,US,1707490174
39,Port Mathurin,-19.6833,63.4167,27.3,74,67,9.61,MU,1707489955
40,Road Town,18.4167,-64.6167,26.05,65,40,5.14,VG,1707490174
41,Darnah,32.767,22.6367,17.31,66,0,8.92,LY,1707490174
42,Laguna,38.421,-121.4238,3.99,93,100,2.06,US,1707490175
43,Ribeira Grande,38.5167,-28.7,17.1,67,40,4.12,PT,1707490175
44,East London,-33.0153,27.9116,19.52,94,100,5.66,ZA,1707490175
45,Thompson,55.7435,-97.8558,-15.91,78,100,5.14,CA,1707490175
46,Crane,31.3974,-102.3501,11.69,33,100,3.63,US,1707490175
47,Punta Arenas,-53.15,-70.9167,13.06,67,75,6.69,CL,1707490175
48,Yantarnyy,54.8717,19.9381,-0.08,75,100,7.78,RU,1707490176
49,Rongelap,11.1635,166.8941,26.17,77,100,10.23,MH,1707490176
50,Mili,6.0815,171.735,27.52,81,100,9.43,MH,1707490176
51,Jamestown,42.097,-79.2353,10.81,66,100,5.14,US,1707490037
52,Vilyuchinsk,52.9306,158.4028,-13.85,85,32,3.56,RU,1707489989
53,Blackmans Bay,-43.0167,147.3167,11.07,78,10,3.43,AU,1707490176
54,Port Elizabeth,-33.918,25.5701,24.5,70,20,8.23,ZA,1707490146
